time=10000000
BoundedPareto(1.5, 1000000.0) 0
g: "Set further on", k: 10, Mean: 2.9970000029970003, C^2: 332.667
g=None
,LWL,Random,JSQ,RR,SITA
0.020000,31.120931,31.462128,31.120931,31.195764,31.410622
0.100000,30.037292,31.676219,30.037292,30.527738,31.673210
0.200000,29.634163,33.086321,29.635025,30.908258,33.175948
0.300000,29.650818,35.303416,29.659952,32.132786,35.658962
0.400000,30.126065,38.691797,30.188043,34.508766,39.566414
0.500000,30.245884,42.162903,30.432992,36.790489,44.152341
0.600000,30.756495,46.549613,31.045263,39.860119,50.624866
0.700000,32.465078,52.857751,32.436670,44.341713,60.894523
0.750000,34.421396,57.180365,33.646885,47.667661,69.073599
0.800000,37.698301,62.744137,35.318935,52.015980,80.992002
0.850000,43.771557,70.128260,37.683008,58.092509,100.498418
0.900000,56.332505,81.751632,41.433775,68.165812,139.294368
0.925000,67.400643,89.888928,44.031865,75.856462,177.472971
0.950000,85.479776,101.518128,48.105089,85.982698,254.898673
0.970000,109.247245,117.263541,52.754905,100.918871,416.774128
0.980000,134.245396,129.700345,58.012292,110.707875,601.186132
0.990000,165.471441,149.111854,63.812494,127.222005,1101.798282
0.995000,185.594349,164.352476,67.305551,139.239837,2376.921198
g=Some(1.0)
0.020000,31.120931,31.348626,31.120931,31.182239,31.181886
0.100000,30.037292,31.103371,30.037292,30.579311,30.511281
0.200000,29.634277,31.727583,29.634598,30.990789,30.718016
0.300000,29.652027,32.794608,29.660115,32.042515,31.745918
0.400000,30.135789,34.451148,30.190118,33.711225,33.367967
0.500000,30.261283,35.758152,30.434039,35.034115,34.815930
0.600000,30.708711,37.437920,31.047921,36.569147,37.228601
0.700000,31.951177,39.941498,32.466377,38.736583,40.340164
0.750000,33.151298,41.753204,33.681203,40.363453,42.336169
0.800000,34.975396,44.146430,35.438834,42.507472,45.397846
0.850000,37.862989,47.415004,38.016412,45.500368,49.360808
0.900000,43.090339,52.749385,42.261603,50.469325,55.294553
0.925000,47.223296,56.739137,45.418744,54.272016,59.849529
0.950000,53.745287,62.749441,50.405060,60.071479,66.422408
0.970000,63.514872,71.524087,56.989786,68.089990,75.724210
0.980000,72.013355,79.115419,63.937745,75.332166,83.022674
0.990000,82.983097,89.546008,72.298422,85.192029,94.766378
0.995000,94.154898,98.074432,80.374617,94.778959,105.363963
