BoundedPareto(1.5, 1000000.0)
g: None, k: 10, Mean: 2.9970000029970003, C^2: 332.667
,LWL,Random,JSQ,RR,JIQ,JSQ_d(2)
0.020000,28.959172,29.328062,28.959172,28.975371,28.959172,28.963664
0.100000,30.314199,31.994748,30.314199,30.769270,30.314199,30.487749
0.200000,31.121819,34.914517,31.126862,32.622418,31.125943,31.892988
0.300000,30.793224,36.930820,30.811165,33.692377,30.804540,32.385236
0.400000,30.304979,39.064489,30.375096,34.824916,30.367665,32.958579
0.500000,30.494021,42.487693,30.664241,37.134953,30.670470,34.559153
0.600000,31.005166,46.695874,31.233793,39.976279,31.330399,36.637199
0.700000,32.548114,52.926909,32.526709,44.336286,32.802106,39.451683
0.750000,34.450854,58.121840,33.996621,48.104785,34.359649,41.601892
0.800000,37.901530,63.656721,35.657606,52.087649,36.812383,44.188881
0.850000,45.133740,71.103660,38.310258,57.815065,40.376786,47.554684
0.900000,57.964574,80.095539,41.695921,66.445029,45.934742,52.015477
0.925000,70.413012,87.580839,44.414711,72.332713,50.704621,55.334131
0.950000,89.692414,96.838828,47.935467,81.304593,57.246976,59.802321
0.970000,111.350902,113.151558,52.456999,90.739555,67.064223,64.817408
0.980000,125.845810,123.718218,54.963544,98.693534,74.655589,68.543113
0.990000,144.182855,137.552125,60.059088,116.478546,88.520626,71.673016
0.995000,153.931238,147.541064,64.297597,125.183241,91.045741,74.077936
0.997500,154.106073,151.562788,57.899971,129.081395,92.132006,75.645036
0.999000,160.145787,155.861286,60.791926,132.974127,92.411820,76.214712
